valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,0.0,0.5,0.3494352142857143,,,0.0,131740,Histogram,Unknown
True,0.8333333333333334,0.0,0.0,0.7586718680693235,,0.0,1.0,149999,Line Chart,Unknown
True,1.0,1.0,0.5,0.9090909090909091,,,0.7637499999999999,153147,Line Chart,Unknown
True,1.0,0.0,0.75,0.9826949020885936,,,0.74,149267,Line Chart,Unknown
True,1.0,0.0,0.8333333333333334,0.6666666666666666,,,0.422,107744,Line Chart,Unknown
True,1.0,0.0,0.5,0.71769227994228,,,0.515625,90311,Line Chart,Unknown
True,1.0,1.0,,0.025000000000000022,1.0,,0.11699999999999999,55210,Area Chart,Unknown
True,1.0,1.0,,0.0,,,,71634,Pie Chart,Unknown
True,1.0,1.0,0.5,0.23536161230396824,,,0.3269230769230769,122595,Area Chart,Unknown
True,1.0,0.0,0.8571428571428571,0.42160218253968257,1.0,,,50003,Scatter Plot,Unknown
True,1.0,1.0,0.8571428571428571,0.8921969696969697,1.0,,,118774,Scatter Plot,Unknown
True,1.0,1.0,0.8571428571428571,,,,0.11333333333333334,50419,Box Plot,Unknown
True,1.0,0.0,0.4375,0.1833757915503592,1.0,,0.076875,147731,Bar Chart,Unknown
True,1.0,1.0,,0.33808333333333335,1.0,,0.01,154422,Bar Chart,Unknown
True,1.0,1.0,,0.0,,,,66936,Pie Chart,Unknown
True,1.0,1.0,0.0,0.19765784657182645,,,0.016153846153846154,56537,Line Chart,Unknown
True,1.0,0.0,0.7142857142857143,0.6878217846967847,0.8,,,59868,Scatter Plot,Unknown
True,1.0,1.0,,0.0,,,,155348,Pie Chart,Unknown
True,1.0,1.0,0.8,,,,0.0,105282,Box Plot,Unknown
True,1.0,1.0,0.5,0.7596382840407309,,,0.42000000000000004,65440,Line Chart,Unknown
True,1.0,1.0,0.0,0.9996052631578948,,,0.9415384615384615,150369,Line Chart,Unknown
True,1.0,0.0,0.5,,,,0.019230769230769232,154556,Bar Chart,Unknown
True,1.0,1.0,0.8571428571428571,0.6098336304218657,1.0,,0.41600000000000004,103701,Line Chart,Unknown
True,1.0,1.0,,1.0,1.0,,0.625,156625,Bar Chart,Unknown
True,1.0,1.0,0.8571428571428571,0.5773581681476418,0.8,,,127569,Scatter Plot,Unknown
True,1.0,0.0,0.25,0.8,,,0.766875,149156,Line Chart,Unknown
True,1.0,1.0,0.8888888888888888,0.9809523809523809,1.0,,0.916,96490,Line Chart,Unknown
True,1.0,1.0,0.5,0.1018417430000952,,,0.48230769230769227,153699,Line Chart,Unknown
True,1.0,0.0,0.25,0.5359770761860545,,,0.8646153846153847,157604,Line Chart,Unknown
True,1.0,1.0,0.8888888888888888,0.462566822949397,1.0,,0.328,123714,Area Chart,Unknown
True,1.0,0.0,,0.8473971318022732,1.0,,0.01375,80914,Bar Chart,Unknown
True,1.0,1.0,0.8571428571428571,0.9758293057584954,1.0,,0.82875,66562,Line Chart,Unknown
