valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,1.0,0.75,0.23833006177849927,,,0.0,131740,Histogram,Low
True,0.8333333333333334,1.0,1.0,0.04559678030303033,,0.0,0.6666666666666666,149999,Line Chart,Medium
True,1.0,1.0,1.0,1.0,,,0.78,153147,Line Chart,High
True,1.0,1.0,1.0,0.6666666666666666,,,0.49571428571428566,149267,Line Chart,Medium
True,1.0,1.0,0.8333333333333334,0.6666666666666666,,,0.433,107744,Line Chart,High
True,1.0,0.0,0.5,0.47729943502824856,,,0.34375,90311,Line Chart,High
True,1.0,1.0,1.0,0.4162936218985621,1.0,,0.147,55210,Area Chart,Medium
True,1.0,1.0,,0.998160073597056,,,,71634,Pie Chart,Low
True,1.0,1.0,0.75,0.6103598484848485,,,0.3330769230769231,122595,Area Chart,High
True,1.0,1.0,0.8571428571428571,0.7904761904761904,0.5714285714285714,,,50003,Scatter Plot,High
True,1.0,1.0,0.5,0.9218888888888889,1.0,,,118774,Scatter Plot,High
True,1.0,0.0,0.8571428571428571,0.46015873015873016,0.5,,0.14333333333333334,50419,Box Plot,Medium
True,1.0,0.0,0.25,0.5622969034310996,1.0,,0.1475,147731,Bar Chart,High
True,1.0,1.0,0.25,0.26666666666666666,1.0,,0.2125,154422,Bar Chart,High
True,1.0,1.0,,0.9990829831273068,,,,66936,Pie Chart,Low
True,1.0,1.0,0.75,0.851709332302662,,,0.48615384615384616,56537,Line Chart,High
True,1.0,1.0,0.5,0.19286130536130536,0.3333333333333333,,,59868,Scatter Plot,High
True,1.0,1.0,,1.0,,,,155348,Pie Chart,Low
True,1.0,1.0,0.8,0.3711712539574486,1.0,,0.5,105282,Box Plot,Low
True,0.8333333333333334,1.0,1.0,,,,0.0,65440,Line Chart,High
True,1.0,1.0,0.75,1.0,,,0.9638461538461538,150369,Line Chart,High
True,1.0,1.0,0.0,1.0,1.0,,0.9676923076923077,154556,Bar Chart,High
True,1.0,1.0,0.8571428571428571,0.6614285714285714,1.0,,0.634,103701,Line Chart,High
True,1.0,1.0,1.0,1.0,1.0,,0.9410000000000001,156625,Bar Chart,Medium
True,1.0,1.0,0.8571428571428571,,,,,127569,Scatter Plot,Medium
True,1.0,0.0,0.75,,,,0.01875,149156,Line Chart,High
True,1.0,1.0,0.5,0.9130434782608695,1.0,,0.9789999999999999,96490,Line Chart,Low
True,1.0,1.0,0.75,0.10220706631563062,,,0.64,153699,Line Chart,High
True,1.0,1.0,0.75,0.99375,,,0.8707692307692307,157604,Line Chart,High
