valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,1.0,0.75,0.15363155363155365,,,1.0,131740,Histogram,Low
True,0.8333333333333334,1.0,1.0,0.39179978232479423,,0.0,0.3333333333333333,149999,Scatter Plot,Medium
True,1.0,1.0,1.0,1.0,,,1.0,153147,Line Chart,High
True,1.0,1.0,1.0,0.9896652171617267,,,0.6900000000000001,149267,Line Chart,Medium
True,1.0,1.0,0.25,0.6666666666666666,,,0.667,107744,Line Chart,High
True,1.0,1.0,1.0,0.9481214244580962,,,0.559375,90311,Line Chart,High
True,1.0,1.0,1.0,0.5323745915705875,1.0,,0.491,55210,Area Chart,Medium
True,1.0,1.0,,0.9981828215945987,,,,71634,Pie Chart,Low
True,1.0,1.0,1.0,0.6760999563302195,,,0.5223076923076924,122595,Area Chart,High
True,1.0,0.0,0.8571428571428571,0.7223809226895647,0.92,,,50003,Scatter Plot,High
True,1.0,1.0,0.8571428571428571,0.9290317460317461,1.0,,,118774,Scatter Plot,High
True,1.0,1.0,1.0,0.8029035467737391,1.0,,0.66,50419,Box Plot,Medium
True,1.0,1.0,1.0,0.7708436426814818,1.0,,0.426875,147731,Bar Chart,High
True,1.0,1.0,1.0,0.6572011454667989,1.0,,0.4325,154422,Bar Chart,High
True,1.0,1.0,,0.9989327209116898,,,,66936,Pie Chart,Low
True,1.0,1.0,0.75,0.8362135653795496,,,0.4584615384615385,56537,Line Chart,High
True,1.0,0.0,0.8571428571428571,0.7577089577089576,0.9130434782608695,,,59868,Scatter Plot,High
True,1.0,1.0,,1.0,,,,155348,Pie Chart,Low
True,1.0,1.0,1.0,0.5569194488050906,1.0,,0.5,105282,Box Plot,Low
True,1.0,1.0,1.0,0.5020201770644854,,,0.969,65440,Line Chart,High
True,1.0,1.0,0.75,1.0,,,0.9992307692307693,150369,Line Chart,High
True,1.0,1.0,1.0,1.0,1.0,,1.0,154556,Bar Chart,High
True,1.0,1.0,0.8571428571428571,0.6570847408376013,1.0,,0.667,103701,Line Chart,High
True,1.0,1.0,1.0,1.0,1.0,,1.0,156625,Bar Chart,Medium
True,1.0,1.0,0.8571428571428571,0.8202711228031883,0.8235294117647058,,,127569,Scatter Plot,Medium
True,1.0,1.0,0.75,0.9890736783546448,,,0.934375,149156,Line Chart,High
True,1.0,1.0,0.8888888888888888,1.0,1.0,,0.998,96490,Line Chart,Low
True,1.0,1.0,0.75,0.9689641318512467,,,0.7684615384615385,153699,Line Chart,High
True,1.0,1.0,0.75,0.99375,,,0.9230769230769231,157604,Line Chart,High
True,1.0,1.0,1.0,0.6639971139971139,1.0,,0.798,123714,Area Chart,Medium
True,1.0,1.0,1.0,0.999578947368421,1.0,,0.993125,80914,Bar Chart,High
True,1.0,1.0,0.8571428571428571,1.0,1.0,,0.995,66562,Line Chart,High
True,1.0,1.0,1.0,0.6531037414965986,1.0,,0.8,96779,Area Chart,Medium
False,0.0,0.0,,,,,,161621,Histogram,Medium
True,1.0,1.0,1.0,0.9963768115942029,1.0,,0.9985714285714286,74151,Bar Chart,Medium
True,1.0,1.0,0.8333333333333334,0.772,1.0,,0.9946153846153846,62184,Line Chart,High
True,1.0,1.0,1.0,0.2587461042495465,,,0.6846153846153846,127379,Area Chart,High
True,1.0,1.0,0.8333333333333334,0.8291666666666667,1.0,,0.923125,111279,Bar Chart,High
True,1.0,0.0,0.8333333333333334,0.5,1.0,,0.57,134854,Bar Chart,High
True,1.0,1.0,1.0,0.9954613095238095,1.0,,1.0,151826,Bar Chart,High
True,1.0,1.0,1.0,,,,,145878,Bar Chart,High
True,0.8333333333333334,1.0,0.8571428571428571,,,,0.0,110844,Bar Chart,Medium
True,1.0,0.0,1.0,0.668257009987078,1.0,,,59962,Scatter Plot,High
True,1.0,1.0,1.0,1.0,,,,145091,Scatter Plot,Medium
True,1.0,1.0,1.0,1.0,,,1.0,150427,Line Chart,High
True,0.8333333333333334,0.0,0.8571428571428571,,,,0.0,132785,Box Plot,Medium
True,1.0,1.0,0.9,0.9730820105820106,1.0,,0.9970000000000001,103165,Bar Chart,Medium
True,1.0,1.0,1.0,1.0,1.0,,1.0,132693,Area Chart,Low
True,1.0,1.0,1.0,0.9906666666666667,1.0,,0.931875,49642,Bar Chart,High
True,1.0,1.0,1.0,0.9974304237824162,,,,62808,Scatter Plot,Low
True,0.8333333333333334,0.0,0.8571428571428571,0.5,1.0,,0.0,127745,Area Chart,Low
True,1.0,1.0,1.0,0.9955055426618895,1.0,,1.0,144186,Bar Chart,Low
True,1.0,1.0,1.0,1.0,1.0,,1.0,159103,Bar Chart,High
True,1.0,1.0,1.0,0.9870845267680977,1.0,,0.9207692307692308,146663,Bar Chart,High
True,1.0,1.0,0.75,0.5128479721942739,,,0.8810526315789473,145954,Line Chart,High
True,1.0,1.0,1.0,0.9983333333333333,,,0.9924999999999999,56669,Line Chart,High
True,1.0,1.0,0.8571428571428571,0.9932962694441663,1.0,,0.992,123767,Area Chart,Medium
True,1.0,1.0,1.0,0.9963924963924964,,,1.0,136665,Area Chart,Medium
True,1.0,1.0,0.8571428571428571,0.9722660932330939,1.0,,,132022,Scatter Plot,High
True,1.0,1.0,1.0,0.988,1.0,,0.995625,51822,Bar Chart,High
True,1.0,1.0,1.0,0.980033365327483,1.0,,0.6915384615384615,139105,Area Chart,High
True,1.0,1.0,1.0,0.5463920362174208,,,0.8,131679,Histogram,Low
True,1.0,1.0,1.0,,,,0.0,127191,Area Chart,Low
True,1.0,1.0,0.5,0.991239922465523,,,0.799,53721,Line Chart,Medium
True,0.8333333333333334,1.0,0.8333333333333334,,,,,132169,Scatter Plot,High
True,1.0,1.0,1.0,1.0,,,,88649,Scatter Plot,Low
True,1.0,1.0,0.0,0.887526862026862,1.0,,,61477,Scatter Plot,High
True,1.0,1.0,1.0,1.0,1.0,,0.8926315789473684,154791,Bar Chart,High
True,1.0,1.0,0.8571428571428571,0.8950667694878222,1.0,,0.66,115284,Box Plot,Medium
True,1.0,1.0,0.75,0.995540136771802,,,0.9757142857142858,70921,Area Chart,Medium
True,1.0,1.0,0.8,0.9277116402116402,1.0,,,56979,Scatter Plot,High
True,1.0,1.0,1.0,1.0,,,0.9985714285714286,58747,Line Chart,Medium
True,1.0,1.0,0.75,0.9877717391304348,,,,102123,Scatter Plot,Medium
True,1.0,1.0,1.0,1.0,1.0,,1.0,71338,Bar Chart,Low
False,0.0,0.0,,,,,,155924,Histogram,Medium
