valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,1.0,0.75,0.27313562414066217,,,0.0,131740,Histogram,Low
True,0.8333333333333334,1.0,0.5,0.3892816185073505,,0.0,1.0,149999,Line Chart,Medium
True,1.0,1.0,1.0,0.766579655151399,,,0.8075,153147,Line Chart,High
True,1.0,1.0,0.75,0.966977377508392,,,0.8357142857142856,149267,Line Chart,Medium
True,0.8333333333333334,1.0,0.25,0.6666666666666666,,,0.2,107744,Line Chart,High
True,0.8333333333333334,1.0,0.75,0.761080930369066,,,0.25,90311,Line Chart,High
True,1.0,1.0,0.8333333333333334,0.31956755655173996,1.0,,0.28900000000000003,55210,Area Chart,Medium
True,1.0,1.0,,0.997932136129206,,,,71634,Pie Chart,Low
True,1.0,1.0,0.75,0.7106258727866319,,,0.5238461538461539,122595,Area Chart,High
True,1.0,0.0,0.8571428571428571,0.660622095758548,0.92,,,50003,Scatter Plot,High
True,1.0,1.0,0.8571428571428571,0.9322857142857143,1.0,,,118774,Scatter Plot,High
True,0.8333333333333334,0.0,0.8571428571428571,0.5333241758241758,1.0,,0.0,50419,Box Plot,Medium
False,0.0,0.0,,,,,,147731,Bar Chart,High
False,0.0,0.0,,,,,,154422,Bar Chart,High
True,1.0,1.0,,0.9980426833270175,,,,66936,Pie Chart,Low
True,1.0,1.0,0.5,0.9469025008912076,,,0.4584615384615385,56537,Line Chart,High
True,1.0,0.0,0.8571428571428571,,,,,59868,Scatter Plot,High
True,1.0,1.0,,1.0,,,,155348,Pie Chart,Low
True,1.0,1.0,0.8,0.512977202237944,1.0,,0.5,105282,Box Plot,Low
True,0.8333333333333334,1.0,1.0,0.8853184932348248,,,0.2,65440,Line Chart,High
True,1.0,1.0,0.5,0.9992740665766982,,,0.9961538461538461,150369,Line Chart,High
True,1.0,1.0,1.0,0.6079336825115137,1.0,,0.5353846153846153,154556,Bar Chart,High
True,0.8333333333333334,1.0,0.8571428571428571,0.635204991087344,1.0,,0.2,103701,Line Chart,High
True,1.0,1.0,1.0,1.0,1.0,,0.9970000000000001,156625,Bar Chart,Medium
True,1.0,1.0,0.8571428571428571,0.6396370829033368,0.8,,,127569,Scatter Plot,Medium
True,1.0,1.0,0.75,0.9906527102307497,,,0.9981249999999999,149156,Line Chart,High
True,1.0,1.0,0.8888888888888888,1.0,1.0,,0.986,96490,Line Chart,Low
